Country;Year;Food Category;Total Waste (Tons);Economic Loss (Million $);Avg Waste per Capita (Kg);Population (Million);Household Waste (%);Economic Loss per Ton ($);Year Category
South Africa;2024;Dairy Products;616528;664918;5955;58731;5246; 107.848.791.944.567,00 ;2022-2024
France;2021;Fruits & Vegetables;4283763;463713;5713;9051;480; 108.248.985.763.218,00 ;2018-2021
Canada;2018;Frozen Food;1960483;2126577;7027;48405;5254; 108.472.095.906.978,00 ;2018-2021
Saudi Arabia;2022;Meat & Seafood;113185;1234111;6435;101805;6902; 109.034.854.441.843,00 ;2022-2024
South Africa;2019;Grains & Cereals;3417949;3749134;18241;14733;3861; 109.689.582.846.321,00 ;2018-2021
USA;2019;Fruits & Vegetables;4200101;4610726;1205;129484;6079; 109.776.550.611.521,00 ;2018-2021
Turkey;2022;Prepared Food;4319969;4759787;6043;107709;5184; 110.181.045.280.649,00 ;2022-2024
Brazil;2018;Bakery Items;4249697;470621;17779;37856;586; 110.742.248.212.049,00 ;2018-2021
Russia;2019;Beverages;342537;3850382;6377;3741;6281; 112.407.769.087.719,00 ;2018-2021
USA;2024;Meat & Seafood;1507126;1695771;14647;25485;4946; 112.516.869.856.933,00 ;2022-2024
USA;2022;Grains & Cereals;539143;606879;13809;12274;688; 112.563.642.669.941,00 ;2022-2024
USA;2023;Frozen Food;1651826;1862318;14212;126648;6868; 112.742.988.668.298,00 ;2022-2024
Turkey;2019;Grains & Cereals;1134132;1307223;15259;28368;5025; 115.261.980.086.974,00 ;2018-2021
Australia;2019;Meat & Seafood;24995;289007;6973;107439;3576; 115.625.925.185.037,00 ;2018-2021
South Korea;2019;Dairy Products;465372;5409534;7102;1640;6684; 116.241.071.658.802,00 ;2018-2021
Indonesia;2023;Dairy Products;3146508;3658691;12443;29586;6571; 116.277.822.907.172,00 ;2022-2024
France;2022;Prepared Food;4502232;5260132;19347;41418;3785; 116.833.872.621.402,00 ;2022-2024
Brazil;2024;Dairy Products;4126311;4833129;16397;125523;3538; 117.129.537.739.642,00 ;2022-2024
UK;2021;Beverages;4474146;5244559;5459;96074;6443; 117.219.219.042.025,00 ;2018-2021
Brazil;2021;Prepared Food;1867095;2189965;11764;2325;6122; 117.292.639.099.778,00 ;2018-2021
France;2023;Meat & Seafood;457410;5382592;11848;48624;5447; 117.675.433.418.596,00 ;2022-2024
Spain;2022;Prepared Food;2745318;3232641;5933;63564;687; 117.751.058.347.339,00 ;2022-2024
Italy;2024;Grains & Cereals;817354;96805;11517;117309;3069; 118.437.054.201.729,00 ;2022-2024
Spain;2024;Fruits & Vegetables;4797509;5714529;19707;119225;3785; 119.114.502.963.934,00 ;2022-2024
India;2022;Fruits & Vegetables;4962052;5922893;6558;126949;491; 119.363.783.370.267,00 ;2022-2024
Canada;2024;Bakery Items;1144882;1366584;17683;28798;4815; 119.364.615.742.059,00 ;2022-2024
Mexico;2023;Frozen Food;3291976;3931315;12441;37992;5161; 119.421.131.867.304,00 ;2022-2024
Canada;2024;Bakery Items;4465728;3578601;6137;53243;6786; 801.347.730.985.855,00 ;2022-2024
Turkey;2023;Dairy Products;3882425;3116516;8932;115579;677; 802.724.070.651.719,00 ;2022-2024
Turkey;2020;Beverages;1644971;1320462;706;3970;6127; 802.726.613.417.501,00 ;2018-2021
Japan;2022;Grains & Cereals;3419195;2745358;8882;102512;6186; 802.925.249.949.184,00 ;2022-2024
Russia;2024;Fruits & Vegetables;4886219;392406;18257;116468;5372; 803.087.213.241.977,00 ;2022-2024
Turkey;2023;Prepared Food;1626394;1306674;14614;53268;4063; 803.417.867.995.086,00 ;2022-2024
Italy;2024;Meat & Seafood;3417823;2747834;10528;99367;3385; 803.972.002.060.961,00 ;2022-2024
South Africa;2018;Dairy Products;203772;163894;12226;77389;5154; 804.300.885.303.182,00 ;2018-2021
South Korea;2024;Grains & Cereals;4509637;3634217;14282;6632;421; 805.877.945.386.735,00 ;2022-2024
Russia;2023;Fruits & Vegetables;122162;98457;9688;54778;3653; 805.954.388.435.029,00 ;2022-2024
USA;2024;Grains & Cereals;1793408;144689;16523;74325;6568; 806.782.394.190.279,00 ;2022-2024
France;2019;Meat & Seafood;1663097;1343543;14155;41302;4587; 807.856.066.122.421,00 ;2018-2021
Canada;2022;Beverages;3454754;2791766;17646;114381;6094; 808.094.006.114.473,00 ;2022-2024
Germany;2018;Bakery Items;4951153;400278;15017;55221;6731; 808.454.111.597.844,00 ;2018-2021
Indonesia;2019;Bakery Items;346800;280457;16094;69005;6995; 808.699.538.638.985,00 ;2018-2021
India;2021;Fruits & Vegetables;3484476;2823533;19053;123991;5137; 810.317.821.101.365,00 ;2018-2021
South Korea;2023;Dairy Products;2895339;2347435;8573;69225;4877; 810.763.437.372.964,00 ;2022-2024
Turkey;2024;Frozen Food;1789872;1455068;7537;54564;5077; 812.945.283.238.131,00 ;2022-2024
South Africa;2019;Bakery Items;4957605;4038272;10451;17302;4408; 814.561.063.255.342,00 ;2018-2021
France;2023;Fruits & Vegetables;4258445;3468774;19089;67116;6602; 814.563.531.993.486,00 ;2022-2024
South Korea;2023;Grains & Cereals;2742117;223486;848;91598;3538; 815.012.634.398.897,00 ;2022-2024
Saudi Arabia;2018;Meat & Seafood;920661;750927;18406;13738;4389; 815.638.981.123.345,00 ;2018-2021
Canada;2023;Bakery Items;3756008;306457;12084;51613;442; 815.911.467.707.204,00 ;2022-2024
Australia;2022;Meat & Seafood;2155695;176022;11388;130653;5827; 816.544.084.390.417,00 ;2022-2024
Turkey;2021;Bakery Items;4183289;3420976;18519;69463;5009; 817.771.853.677.812,00 ;2018-2021
India;2020;Beverages;2406159;1971245;14824;43647;5072; 819.249.683.832.199,00 ;2018-2021
China;2021;Grains & Cereals;3384753;2773249;1287;75268;544; 819.335.709.282.184,00 ;2018-2021
Saudi Arabia;2020;Frozen Food;552293;452635;17995;42527;3298; 819.555.924.119.987,00 ;2018-2021
Argentina;2018;Meat & Seafood;2716914;2229488;8393;53494;679; 820.595.719.997.026,00 ;2018-2021
India;2023;Beverages;3504688;288364;6106;87775;3248; 822.795.067.635.122,00 ;2022-2024
Spain;2021;Dairy Products;659196;543054;4772;91723;5872; 823.812.644.494.202,00 ;2018-2021
Indonesia;2021;Beverages;3267612;2692751;12886;120496;3263; 824.073.053.961.119,00 ;2018-2021
Indonesia;2020;Fruits & Vegetables;1333455;110112;7505;106631;6466; 825.764.648.975.781,00 ;2018-2021
Indonesia;2020;Meat & Seafood;3054507;2524014;17474;119115;3738; 826.324.509.978.206,00 ;2018-2021
South Africa;2021;Frozen Food;4534346;3754798;17712;28268;5879; 828.079.286.406.463,00 ;2018-2021
Indonesia;2023;Dairy Products;693217;575596;9851;86235;4562; 830.325.857.559.754,00 ;2022-2024
South Korea;2023;Bakery Items;73535;61074;16622;12376;3285; 830.543.278.710.818,00 ;2022-2024
India;2023;Grains & Cereals;336602;2798989;7187;39126;6309; 831.542.593.329.808,00 ;2022-2024
Japan;2020;Prepared Food;3489302;2903035;8677;118557;5721; 831.981.582.562.931,00 ;2018-2021
Turkey;2021;Fruits & Vegetables;1698014;1413982;15605;100522;5046; 832.726.938.647.149,00 ;2018-2021
Canada;2024;Meat & Seafood;2935178;2446285;19713;107206;5228; 833.436.677.434.895,00 ;2022-2024
USA;2018;Frozen Food;1313793;1095487;3167;94249;3917; 833.835.315.000.156,00 ;2018-2021
Australia;2018;Dairy Products;3198392;2667323;1899;95151;5681; 833.957.501.144.325,00 ;2018-2021
Indonesia;2023;Fruits & Vegetables;1187733;991133;16478;26903;6179; 834.474.583.092.328,00 ;2022-2024
Argentina;2019;Bakery Items;2936859;2451339;6842;6393;4168; 834.680.520.923.885,00 ;2018-2021
USA;2019;Prepared Food;3806796;3181614;3507;34119;5186; 835.772.129.633.424,00 ;2018-2021
France;2022;Frozen Food;1075144;89874;13156;129698;6374; 835.925.234.201.186,00 ;2022-2024
Brazil;2023;Dairy Products;1830161;153056;16622;136868;6679; 836.298.008.754.421,00 ;2022-2024
Germany;2023;Prepared Food;3412341;285421;9844;108799;4248; 836.437.507.271.401,00 ;2022-2024
Mexico;2021;Bakery Items;3414849;2857197;11508;125552;6471; 836.697.903.772.612,00 ;2018-2021
Japan;2023;Dairy Products;218053;182497;9789;139611;6739; 836.938.725.906.087,00 ;2022-2024
Japan;2021;Beverages;498733;4183946;11031;6909;5222; 838.915.010.636.954,00 ;2018-2021
China;2019;Dairy Products;2471437;2075462;17349;127915;6183; 839.779.448.151.015,00 ;2018-2021
China;2018;Grains & Cereals;2601686;2190249;711;102032;5002; 841.857.549.296.879,00 ;2018-2021
India;2020;Fruits & Vegetables;327914;276093;3535;72666;5427; 841.967.711.046.189,00 ;2018-2021
Brazil;2022;Fruits & Vegetables;4175937;3516145;9207;109709;4212; 842.001.447.818.777,00 ;2022-2024
Mexico;2022;Prepared Food;354532;2987131;12072;16258;6282; 842.556.102.129.004,00 ;2022-2024
Russia;2022;Meat & Seafood;4207864;3546958;2255;135261;4307; 842.935.513.124.949,00 ;2022-2024
Canada;2020;Bakery Items;2792681;2355701;17845;43003;4598; 843.526.704.267.333,00 ;2018-2021
Brazil;2023;Prepared Food;1697296;1432065;9926;1654;3447; 843.733.208.585.892,00 ;2022-2024
Saudi Arabia;2020;Prepared Food;2977658;2513216;12054;25155;6049; 844.024.397.697.788,00 ;2018-2021
Spain;2019;Fruits & Vegetables;3273305;2765011;18463;29368;6909; 844.715.356.497.485,00 ;2018-2021
France;2022;Prepared Food;4076537;3444624;16923;90762;4011; 844.987.792.334.523,00 ;2022-2024
India;2024;Grains & Cereals;1924247;1627503;7329;5391;6609; 845.786.949.388.514,00 ;2022-2024
Argentina;2023;Frozen Food;2918393;247193;18249;15689;4002; 847.017.519.573.272,00 ;2022-2024
USA;2022;Frozen Food;174666;148035;10405;87339;6642; 847.531.860.808.629,00 ;2022-2024
China;2022;Bakery Items;139335;118165;9746;119678;3339; 848.064.018.372.986,00 ;2022-2024
UK;2020;Fruits & Vegetables;1709231;145086;10947;83486;5762; 848.837.869.193.807,00 ;2018-2021
France;2020;Grains & Cereals;176146;149548;16234;99145;3292; 849.000.261.147.003,00 ;2018-2021
China;2018;Frozen Food;232532;1975056;16016;42413;5144; 849.369.549.137.323,00 ;2018-2021
Canada;2019;Dairy Products;4470397;3797551;6793;37374;5347; 849.488.535.358.269,00 ;2018-2021
Turkey;2024;Meat & Seafood;4412203;3748787;8104;5527;3165; 849.640.644.367.451,00 ;2022-2024
Turkey;2018;Frozen Food;3982097;3384429;17603;28747;6663; 849.911.240.233.475,00 ;2018-2021
Canada;2019;Meat & Seafood;4447726;378836;11517;48186;4048; 851.752.108.830.445,00 ;2018-2021
India;2020;Fruits & Vegetables;3797233;323732;8665;7116;517; 852.547.104.694.392,00 ;2018-2021
India;2019;Prepared Food;3086247;2634571;5253;44076;4066; 853.648.784.429.762,00 ;2018-2021
Indonesia;2023;Meat & Seafood;2697275;2302653;10394;45448;3706; 853.696.045.082.537,00 ;2022-2024
Russia;2022;Prepared Food;1904702;1626732;17058;27233;3249; 854.061.160.223.489,00 ;2022-2024
South Africa;2022;Grains & Cereals;4645163;3970799;10493;122369;5884; 854.824.470.099.327,00 ;2022-2024
Turkey;2023;Fruits & Vegetables;772867;661072;7794;100073;5921; 855.350.273.721.093,00 ;2022-2024
Turkey;2020;Grains & Cereals;76448;654169;9679;30437;5316; 855.704.531.184.596,00 ;2018-2021
Spain;2018;Bakery Items;168327;144235;16065;97558;6631; 856.873.822.975.518,00 ;2018-2021
France;2021;Prepared Food;4382183;3756064;4629;123957;696; 857.121.667.442.916,00 ;2018-2021
Australia;2024;Meat & Seafood;2465877;2115024;19065;98702;5565; 857.716.747.429.008,00 ;2022-2024
Germany;2023;Meat & Seafood;591408;507279;11307;89936;3387; 857.747.950.653.356,00 ;2022-2024
South Africa;2023;Fruits & Vegetables;2794444;2398832;18825;62077;3172; 858.429.082.851.544,00 ;2022-2024
Australia;2020;Dairy Products;4271921;3676409;10318;86297;4285; 860.598.545.712.807,00 ;2018-2021
South Africa;2020;Grains & Cereals;1491246;1284038;3405;16005;5364; 861.050.423.605.495,00 ;2018-2021
Saudi Arabia;2023;Prepared Food;317985;2738038;4511;46238;3135; 861.058.854.977.436,00 ;2022-2024
Canada;2019;Meat & Seafood;2294254;1976077;398;115617;3456; 861.315.704.364.033,00 ;2018-2021
Germany;2019;Beverages;230042;1981833;7651;1996;4801; 861.509.202.667.339,00 ;2018-2021
Spain;2019;Meat & Seafood;3521519;3035095;9775;18724;6778; 861.870.971.021.312,00 ;2018-2021
India;2024;Grains & Cereals;2119216;1830517;17632;33016;5587; 863.770.847.332.221,00 ;2022-2024
Brazil;2023;Meat & Seafood;2139748;1849031;17798;95645;4571; 864.134.935.515.771,00 ;2022-2024
South Africa;2024;Grains & Cereals;1410365;1220756;14759;55299;6234; 865.560.333.672.489,00 ;2022-2024
China;2023;Frozen Food;4735887;4101665;1724;82962;3405; 866.081.686.492.942,00 ;2022-2024
China;2024;Frozen Food;3024394;2619712;17154;86336;4577; 866.194.021.017.103,00 ;2022-2024
South Africa;2018;Fruits & Vegetables;1903183;1649651;15691;86302;5573; 866.785.274.984.066,00 ;2018-2021
Brazil;2023;Meat & Seafood;4147217;3597769;15185;6150;4241; 867.514.046.166.381,00 ;2022-2024
South Korea;2018;Grains & Cereals;1039675;902924;5044;69467;4765; 868.467.549.955.515,00 ;2018-2021
UK;2022;Meat & Seafood;1064253;924743;738;120116;5248; 868.912.749.130.141,00 ;2022-2024
Canada;2021;Fruits & Vegetables;1227504;106847;16159;3981;3528; 870.441.155.385.237,00 ;2018-2021
South Africa;2018;Grains & Cereals;1856585;1617253;4513;33533;4472; 871.090.200.556.398,00 ;2018-2021
UK;2019;Fruits & Vegetables;183298;159718;11742;107767;5141; 871.357.025.172.124,00 ;2018-2021
Germany;2020;Bakery Items;2753543;2400035;4786;107777;6383; 871.617.040.300.442,00 ;2018-2021
Indonesia;2019;Meat & Seafood;466889;406992;15686;40987;3642; 871.710.406.542.026,00 ;2018-2021
UK;2021;Dairy Products;1817763;1591966;2959;11814;4667; 875.783.036.622.486,00 ;2018-2021
India;2022;Beverages;3179118;278825;14094;27242;5872; 877.051.433.762.446,00 ;2022-2024
South Korea;2024;Meat & Seafood;1253816;1100404;7471;25062;4595; 877.643.928.614.725,00 ;2022-2024
Australia;2021;Fruits & Vegetables;2426779;2130214;4356;11998;3411; 877.794.805.377.828,00 ;2018-2021
Japan;2021;Fruits & Vegetables;2748774;2414515;2792;2946;4314; 878.397.059.925.625,00 ;2018-2021
Japan;2023;Grains & Cereals;648074;56941;2566;47948;4273; 878.618.799.704.972,00 ;2022-2024
South Korea;2023;Meat & Seafood;138198;121577;18386;106429;4161; 879.730.531.556.173,00 ;2022-2024
Brazil;2023;Bakery Items;636724;560206;13613;8576;5867; 879.825.481.684.372,00 ;2022-2024
Germany;2022;Dairy Products;696554;613114;1743;8459;3159; 880.210.292.382.213,00 ;2022-2024
Canada;2023;Meat & Seafood;2476911;2182722;1149;109897;3893; 881.227.464.369.935,00 ;2022-2024
China;2023;Meat & Seafood;3122783;2753176;17543;42657;3056; 881.641.791.952.883,00 ;2022-2024
Russia;2023;Dairy Products;3155331;2788334;9226;135617;4773; 883.689.856.943.693,00 ;2022-2024
Turkey;2020;Beverages;4348095;3844902;16529;73449;3891; 884.272.767.729.316,00 ;2018-2021
Spain;2019;Grains & Cereals;1201656;1062892;11062;33149;3502; 884.522.692.018.348,00 ;2018-2021
India;2018;Fruits & Vegetables;2420808;214172;19657;102954;6689; 884.712.872.726.792,00 ;2018-2021
Mexico;2024;Frozen Food;1675944;1483552;1594;63584;3973; 885.203.801.559.002,00 ;2022-2024
France;2022;Bakery Items;823695;730692;2816;3132;3022; 887.090.488.591.044,00 ;2022-2024
USA;2022;Dairy Products;318446;2827758;16862;77934;3978; 887.986.660.218.687,00 ;2022-2024
South Korea;2021;Fruits & Vegetables;2485797;2207592;13026;26189;6946; 888.082.172.438.055,00 ;2018-2021
Japan;2020;Fruits & Vegetables;934753;830446;4901;8066;6248; 888.412.232.964.216,00 ;2018-2021
Brazil;2018;Dairy Products;1807668;1606053;8535;749;5248; 888.466.798.106.732,00 ;2018-2021
Australia;2020;Fruits & Vegetables;372172;331086;7637;83016;5186; 889.604.806.379.846,00 ;2018-2021
India;2024;Fruits & Vegetables;382659;341423;16708;138053;3244; 892.238.259.128.885,00 ;2022-2024
Brazil;2022;Dairy Products;1411753;1259716;1598;40627;4422; 892.306.232.039.174,00 ;2022-2024
Argentina;2022;Frozen Food;1364073;1217206;19359;87977;5732; 892.332.008.624.172,00 ;2022-2024
Spain;2023;Prepared Food;4769112;425606;9716;47643;3974; 892.421.901.603.485,00 ;2022-2024
South Korea;2020;Beverages;4928034;4407742;7019;25081;6624; 894.421.994.653.446,00 ;2018-2021
Russia;2023;Bakery Items;4496118;4028046;5672;59333;6719; 895.894.191.389.105,00 ;2022-2024
China;2021;Beverages;2031293;1822793;10056;135745;3811; 897.356.019.047.966,00 ;2018-2021
South Korea;2019;Grains & Cereals;4091695;3672845;10419;17936;3708; 897.634.110.069.299,00 ;2018-2021
USA;2024;Grains & Cereals;2680605;2406704;9295;77613;6527; 897.821.200.811.011,00 ;2022-2024
Russia;2021;Dairy Products;1149137;1032631;13819;46347;5849; 898.614.351.465.491,00 ;2018-2021
UK;2019;Fruits & Vegetables;1671511;1502387;12983;42179;5226; 898.819.690.687.049,00 ;2018-2021
Saudi Arabia;2020;Prepared Food;1356018;1219331;19808;102117;691; 899.199.715.637.993,00 ;2018-2021
India;2021;Bakery Items;1962711;1765679;14652;12674;6039; 899.612.321.936.342,00 ;2018-2021
Brazil;2019;Beverages;382197;344076;19216;51262;536; 900.258.243.785.273,00 ;2018-2021
Russia;2020;Meat & Seafood;438611;3948664;4342;75111;5289; 900.265.611.213.581,00 ;2018-2021
Australia;2022;Frozen Food;4703067;4234644;19288;88332;3377; 900.400.525.869.608,00 ;2022-2024
South Africa;2018;Fruits & Vegetables;3061158;2757949;6138;10548;3997; 900.949.575.291.442,00 ;2018-2021
Turkey;2024;Bakery Items;574099;517508;2629;46657;4957; 901.426.409.033.982,00 ;2022-2024
Mexico;2022;Meat & Seafood;4918861;4435301;16475;65902;6383; 901.692.688.612.262,00 ;2022-2024
Russia;2020;Prepared Food;4826424;4354042;14231;24278;6024; 902.125.880.361.941,00 ;2018-2021
Turkey;2023;Beverages;2615424;2360536;9774;95286;616; 902.544.291.097.734,00 ;2022-2024
Spain;2024;Bakery Items;3103185;2802674;8455;99856;4495; 903.160.462.557.018,00 ;2022-2024
South Africa;2024;Beverages;3362481;3042647;3577;119818;5959; 904.881.544.312.072,00 ;2022-2024
Saudi Arabia;2023;Bakery Items;1894839;1714731;2401;89192;3756; 904.948.124.880.267,00 ;2022-2024
South Korea;2020;Meat & Seafood;395343;3580677;2972;111418;3817; 905.714.025.542.377,00 ;2018-2021
Turkey;2018;Prepared Food;829242;751512;3309;87274;4206; 906.263.792.716.722,00 ;2018-2021
China;2024;Prepared Food;1273875;1155129;13252;80733;6192; 906.783.632.617.015,00 ;2022-2024
Mexico;2023;Meat & Seafood;5153;46763;7896;7077;5656; 907.490.782.068.698,00 ;2022-2024
Spain;2019;Meat & Seafood;930441;84440;14098;14806;6898; 907.526.645.966.805,00 ;2018-2021
Saudi Arabia;2020;Fruits & Vegetables;2636868;2393655;15526;2875;4087; 907.764.438.720.482,00 ;2018-2021
Spain;2019;Frozen Food;476053;432282;454;98151;5437; 908.054.355.292.373,00 ;2018-2021
Spain;2023;Beverages;3526378;3202717;11462;77203;3378; 908.217.156.527.179,00 ;2022-2024
France;2023;Meat & Seafood;308628;2806149;225;60539;6167; 909.233.446.090.439,00 ;2022-2024
Canada;2020;Dairy Products;2571966;2345189;9062;83611;5024; 911.827.372.523.587,00 ;2018-2021
South Korea;2023;Bakery Items;625534;571001;18516;135539;5556; 912.821.685.152.206,00 ;2022-2024
Mexico;2018;Prepared Food;2828134;2585004;6467;47426;5114; 914.031.654.794.292,00 ;2018-2021
Australia;2023;Bakery Items;132928;122013;15226;51572;3162; 917.887.879.152.624,00 ;2022-2024
Italy;2022;Prepared Food;2708129;2487073;5205;110168;5815; 918.373.164.646.145,00 ;2022-2024
Brazil;2023;Bakery Items;3085425;2837357;11504;74757;5199; 919.600.055.097.758,00 ;2022-2024
Japan;2020;Beverages;4479711;412338;6474;123463;6569; 920.456.699.104.027,00 ;2018-2021
USA;2018;Fruits & Vegetables;4980878;4585894;16738;54579;4715; 920.699.924.792.376,00 ;2018-2021
China;2021;Dairy Products;4489824;4134589;19389;63983;5631; 920.879.972.132.538,00 ;2018-2021
Brazil;2024;Dairy Products;2894201;2673886;4705;87948;5525; 923.877.090.775.658,00 ;2022-2024
USA;2024;Grains & Cereals;3483233;3219866;19847;136662;3153; 924.390.070.948.455,00 ;2022-2024
Turkey;2024;Grains & Cereals;3090063;2858822;13607;138748;335; 925.166.250.655.731,00 ;2022-2024
South Korea;2018;Prepared Food;3101642;2871072;1857;114689;3334; 925.661.955.828.558,00 ;2018-2021
China;2020;Frozen Food;4102269;379835;1244;5958;4531; 925.914.414.681.241,00 ;2018-2021
Brazil;2022;Bakery Items;736615;682931;5814;138479;4629; 927.120.680.409.712,00 ;2022-2024
Japan;2018;Beverages;2938594;2725031;6136;5352;3595; 927.324.768.239.505,00 ;2018-2021
Indonesia;2019;Grains & Cereals;1687987;1565453;1105;9667;3928; 927.408.208.712.508,00 ;2018-2021
UK;2020;Beverages;3991847;3702366;10837;106639;4694; 927.481.940.064.336,00 ;2018-2021
South Africa;2023;Frozen Food;2403876;2231998;6327;118987;4905; 928.499.639.748.473,00 ;2022-2024
Germany;2023;Dairy Products;3426532;3182429;3636;8599;5752; 928.760.916.285.037,00 ;2022-2024
Russia;2023;Bakery Items;3858795;3606272;2736;34648;5868; 934.559.104.590.941,00 ;2022-2024
Germany;2023;Frozen Food;2066074;1931294;11107;76549;6481; 934.765.163.300.056,00 ;2022-2024
Spain;2020;Prepared Food;1757702;1645217;9944;120553;6565; 936.004.510.434.647,00 ;2018-2021
Mexico;2018;Frozen Food;1319824;1235527;15249;68652;4889; 936.130.120.379.687,00 ;2018-2021
Spain;2019;Dairy Products;429024;4021921;16136;95517;6219; 937.458.277.392.407,00 ;2018-2021
South Africa;2019;Grains & Cereals;3437911;3223225;211;120876;6021; 937.553.357.256.776,00 ;2018-2021
