Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","654","Ascension, Saint Helena and Tristan da Cunha","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.327","E","Estimated value"
"ET","Temperature change on land","654","Ascension, Saint Helena and Tristan da Cunha","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.458","E","Estimated value"
"ET","Temperature change on land","654","Ascension, Saint Helena and Tristan da Cunha","7271","Temperature change","7020","Meteorological year","2022","2022","°C","1.304","E","Estimated value"
"ET","Temperature change on land","654","Ascension, Saint Helena and Tristan da Cunha","7271","Temperature change","7020","Meteorological year","2023","2023","°C","1.488","E","Estimated value"
"ET","Temperature change on land","654","Ascension, Saint Helena and Tristan da Cunha","7271","Temperature change","7020","Meteorological year","2024","2024","°C","1.837","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.126","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.434","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.432","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7020","Meteorological year","2021","2021","°C","0.626","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7020","Meteorological year","2022","2022","°C","0.757","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7020","Meteorological year","2023","2023","°C","0.935","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7020","Meteorological year","2024","2024","°C","1.51","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2018","2018","°C","2.523","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.359","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2020","2020","°C","2.304","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.391","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2022","2022","°C","2.535","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2023","2023","°C","2.604","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2024","2024","°C","3.288","E","Estimated value"
"ET","Temperature change on land","031","Azerbaijan","7271","Temperature change","7020","Meteorological year","2018","2018","°C","2.239","E","Estimated value"
"ET","Temperature change on land","031","Azerbaijan","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.975","E","Estimated value"
"ET","Temperature change on land","031","Azerbaijan","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.995","E","Estimated value"
"ET","Temperature change on land","031","Azerbaijan","7271","Temperature change","7020","Meteorological year","2021","2021","°C","2.085","E","Estimated value"
"ET","Temperature change on land","031","Azerbaijan","7271","Temperature change","7020","Meteorological year","2022","2022","°C","2.194","E","Estimated value"
"ET","Temperature change on land","031","Azerbaijan","7271","Temperature change","7020","Meteorological year","2023","2023","°C","2.271","E","Estimated value"
"ET","Temperature change on land","031","Azerbaijan","7271","Temperature change","7020","Meteorological year","2024","2024","°C","2.153","E","Estimated value"
"ET","Temperature change on land","044","Bahamas","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.132","E","Estimated value"
"ET","Temperature change on land","044","Bahamas","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.552","E","Estimated value"
"ET","Temperature change on land","044","Bahamas","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.689","E","Estimated value"
"ET","Temperature change on land","044","Bahamas","7271","Temperature change","7020","Meteorological year","2021","2021","°C","0.668","E","Estimated value"
"ET","Temperature change on land","044","Bahamas","7271","Temperature change","7020","Meteorological year","2022","2022","°C","1.292","E","Estimated value"
"ET","Temperature change on land","044","Bahamas","7271","Temperature change","7020","Meteorological year","2023","2023","°C","1.665","E","Estimated value"
"ET","Temperature change on land","044","Bahamas","7271","Temperature change","7020","Meteorological year","2024","2024","°C","1.438","E","Estimated value"
"ET","Temperature change on land","048","Bahrain","7271","Temperature change","7020","Meteorological year","2018","2018","°C","2.193","E","Estimated value"
"ET","Temperature change on land","048","Bahrain","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.988","E","Estimated value"
"ET","Temperature change on land","048","Bahrain","7271","Temperature change","7020","Meteorological year","2020","2020","°C","2.007","E","Estimated value"
"ET","Temperature change on land","048","Bahrain","7271","Temperature change","7020","Meteorological year","2021","2021","°C","2.434","E","Estimated value"
"ET","Temperature change on land","048","Bahrain","7271","Temperature change","7020","Meteorological year","2022","2022","°C","2.003","E","Estimated value"
"ET","Temperature change on land","048","Bahrain","7271","Temperature change","7020","Meteorological year","2023","2023","°C","2.3","E","Estimated value"
"ET","Temperature change on land","048","Bahrain","7271","Temperature change","7020","Meteorological year","2024","2024","°C","2.466","E","Estimated value"
"ET","Temperature change on land","050","Bangladesh","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.151","E","Estimated value"
"ET","Temperature change on land","050","Bangladesh","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.397","E","Estimated value"
"ET","Temperature change on land","050","Bangladesh","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.165","E","Estimated value"
"ET","Temperature change on land","050","Bangladesh","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.574","E","Estimated value"
"ET","Temperature change on land","050","Bangladesh","7271","Temperature change","7020","Meteorological year","2022","2022","°C","1.456","E","Estimated value"
"ET","Temperature change on land","050","Bangladesh","7271","Temperature change","7020","Meteorological year","2023","2023","°C","1.853","E","Estimated value"
"ET","Temperature change on land","050","Bangladesh","7271","Temperature change","7020","Meteorological year","2024","2024","°C","1.639","E","Estimated value"
"ET","Temperature change on land","052","Barbados","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.972","E","Estimated value"
"ET","Temperature change on land","052","Barbados","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.455","E","Estimated value"
"ET","Temperature change on land","052","Barbados","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.315","E","Estimated value"
"ET","Temperature change on land","052","Barbados","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.351","E","Estimated value"
"ET","Temperature change on land","052","Barbados","7271","Temperature change","7020","Meteorological year","2022","2022","°C","1.163","E","Estimated value"
"ET","Temperature change on land","052","Barbados","7271","Temperature change","7020","Meteorological year","2023","2023","°C","","O","Missing value"
"ET","Temperature change on land","052","Barbados","7271","Temperature change","7020","Meteorological year","2024","2024","°C","","O","Missing value"
"ET","Temperature change on land","112","Belarus","7271","Temperature change","7020","Meteorological year","2018","2018","°C","2.272","E","Estimated value"
"ET","Temperature change on land","112","Belarus","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.606","E","Estimated value"
"ET","Temperature change on land","112","Belarus","7271","Temperature change","7020","Meteorological year","2020","2020","°C","3.443","E","Estimated value"
"ET","Temperature change on land","112","Belarus","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.626","E","Estimated value"
"ET","Temperature change on land","112","Belarus","7271","Temperature change","7020","Meteorological year","2022","2022","°C","1.827","E","Estimated value"
"ET","Temperature change on land","112","Belarus","7271","Temperature change","7020","Meteorological year","2023","2023","°C","2.645","E","Estimated value"
"ET","Temperature change on land","112","Belarus","7271","Temperature change","7020","Meteorological year","2024","2024","°C","3.46","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2018","2018","°C","2.181","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.063","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2020","2020","°C","2.55","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.191","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2022","2022","°C","2.788","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2023","2023","°C","2.426","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2024","2024","°C","2.603","E","Estimated value"
"ET","Temperature change on land","084","Belize","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.763","E","Estimated value"
"ET","Temperature change on land","084","Belize","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.459","E","Estimated value"
"ET","Temperature change on land","084","Belize","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.607","E","Estimated value"
"ET","Temperature change on land","084","Belize","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.224","E","Estimated value"
"ET","Temperature change on land","084","Belize","7271","Temperature change","7020","Meteorological year","2022","2022","°C","1.008","E","Estimated value"
"ET","Temperature change on land","084","Belize","7271","Temperature change","7020","Meteorological year","2023","2023","°C","1.873","E","Estimated value"
"ET","Temperature change on land","084","Belize","7271","Temperature change","7020","Meteorological year","2024","2024","°C","1.816","E","Estimated value"
"ET","Temperature change on land","204","Benin","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.05","E","Estimated value"
"ET","Temperature change on land","204","Benin","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.133","E","Estimated value"
"ET","Temperature change on land","204","Benin","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.048","E","Estimated value"
"ET","Temperature change on land","204","Benin","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.567","E","Estimated value"
"ET","Temperature change on land","204","Benin","7271","Temperature change","7020","Meteorological year","2022","2022","°C","0.94","E","Estimated value"
"ET","Temperature change on land","204","Benin","7271","Temperature change","7020","Meteorological year","2023","2023","°C","1.423","E","Estimated value"
"ET","Temperature change on land","204","Benin","7271","Temperature change","7020","Meteorological year","2024","2024","°C","1.46","E","Estimated value"
"ET","Temperature change on land","064","Bhutan","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.432","E","Estimated value"
"ET","Temperature change on land","064","Bhutan","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.377","E","Estimated value"
"ET","Temperature change on land","064","Bhutan","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.24","E","Estimated value"
"ET","Temperature change on land","064","Bhutan","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.854","E","Estimated value"
"ET","Temperature change on land","064","Bhutan","7271","Temperature change","7020","Meteorological year","2022","2022","°C","1.609","E","Estimated value"
"ET","Temperature change on land","064","Bhutan","7271","Temperature change","7020","Meteorological year","2023","2023","°C","1.91","E","Estimated value"
"ET","Temperature change on land","064","Bhutan","7271","Temperature change","7020","Meteorological year","2024","2024","°C","1.83","E","Estimated value"
"ET","Temperature change on land","068","Bolivia (Plurinational State of)","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.571","E","Estimated value"
"ET","Temperature change on land","068","Bolivia (Plurinational State of)","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.91","E","Estimated value"
"ET","Temperature change on land","068","Bolivia (Plurinational State of)","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.261","E","Estimated value"
"ET","Temperature change on land","068","Bolivia (Plurinational State of)","7271","Temperature change","7020","Meteorological year","2021","2021","°C","0.761","E","Estimated value"
"ET","Temperature change on land","068","Bolivia (Plurinational State of)","7271","Temperature change","7020","Meteorological year","2022","2022","°C","0.726","E","Estimated value"
"ET","Temperature change on land","068","Bolivia (Plurinational State of)","7271","Temperature change","7020","Meteorological year","2023","2023","°C","2.04","E","Estimated value"
"ET","Temperature change on land","068","Bolivia (Plurinational State of)","7271","Temperature change","7020","Meteorological year","2024","2024","°C","2.061","E","Estimated value"
"ET","Temperature change on land","070","Bosnia and Herzegovina","7271","Temperature change","7020","Meteorological year","2018","2018","°C","2.269","E","Estimated value"
"ET","Temperature change on land","070","Bosnia and Herzegovina","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.971","E","Estimated value"
"ET","Temperature change on land","070","Bosnia and Herzegovina","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.849","E","Estimated value"
"ET","Temperature change on land","070","Bosnia and Herzegovina","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.566","E","Estimated value"
"ET","Temperature change on land","070","Bosnia and Herzegovina","7271","Temperature change","7020","Meteorological year","2022","2022","°C","2.063","E","Estimated value"
"ET","Temperature change on land","070","Bosnia and Herzegovina","7271","Temperature change","7020","Meteorological year","2023","2023","°C","2.448","E","Estimated value"
"ET","Temperature change on land","070","Bosnia and Herzegovina","7271","Temperature change","7020","Meteorological year","2024","2024","°C","3.33","E","Estimated value"
"ET","Temperature change on land","072","Botswana","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.713","E","Estimated value"
"ET","Temperature change on land","072","Botswana","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.537","E","Estimated value"
"ET","Temperature change on land","072","Botswana","7271","Temperature change","7020","Meteorological year","2020","2020","°C","0.434","E","Estimated value"
"ET","Temperature change on land","072","Botswana","7271","Temperature change","7020","Meteorological year","2021","2021","°C","-0.322","E","Estimated value"
"ET","Temperature change on land","072","Botswana","7271","Temperature change","7020","Meteorological year","2022","2022","°C","0.085","E","Estimated value"
"ET","Temperature change on land","072","Botswana","7271","Temperature change","7020","Meteorological year","2023","2023","°C","0.888","E","Estimated value"
"ET","Temperature change on land","072","Botswana","7271","Temperature change","7020","Meteorological year","2024","2024","°C","1.597","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.199","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.564","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.421","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.146","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7020","Meteorological year","2022","2022","°C","0.965","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7020","Meteorological year","2023","2023","°C","1.658","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7020","Meteorological year","2024","2024","°C","2.037","E","Estimated value"
"ET","Temperature change on land","092","British Virgin Islands","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.556","E","Estimated value"
"ET","Temperature change on land","092","British Virgin Islands","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.772","E","Estimated value"
"ET","Temperature change on land","092","British Virgin Islands","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.179","E","Estimated value"
"ET","Temperature change on land","092","British Virgin Islands","7271","Temperature change","7020","Meteorological year","2021","2021","°C","0.806","E","Estimated value"
"ET","Temperature change on land","092","British Virgin Islands","7271","Temperature change","7020","Meteorological year","2022","2022","°C","0.875","E","Estimated value"
"ET","Temperature change on land","092","British Virgin Islands","7271","Temperature change","7020","Meteorological year","2023","2023","°C","1.261","E","Estimated value"
"ET","Temperature change on land","092","British Virgin Islands","7271","Temperature change","7020","Meteorological year","2024","2024","°C","1.505","E","Estimated value"
"ET","Temperature change on land","096","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.101","E","Estimated value"
"ET","Temperature change on land","096","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.348","E","Estimated value"
"ET","Temperature change on land","096","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.372","E","Estimated value"
"ET","Temperature change on land","096","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.083","E","Estimated value"
"ET","Temperature change on land","096","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2022","2022","°C","1.125","E","Estimated value"
"ET","Temperature change on land","096","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2023","2023","°C","1.304","E","Estimated value"
"ET","Temperature change on land","096","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2024","2024","°C","1.705","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2018","2018","°C","2.176","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.088","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2020","2020","°C","2.008","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.585","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2022","2022","°C","1.851","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2023","2023","°C","2.673","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2024","2024","°C","3.104","E","Estimated value"
